1.84,-0.268362,-0.972909
1.85,-0.278091,-0.970225
1.86,-0.287794,-0.967444
1.87,-0.297468,-0.964566
1.88,-0.307114,-0.961591
1.89,-0.31673,-0.95852
1.9,-0.326315,-0.955353
1.91,-0.335868,-0.95209
1.92,-0.345389,-0.948731
1.93,-0.354877,-0.945277
1.94,-0.364329,-0.941729
1.95,-0.373747,-0.938085
1.96,-0.383127,-0.934348
1.97,-0.392471,-0.930516
1.98,-0.401776,-0.926592
1.99,-0.411042,-0.922574
2,-0.420268,-0.918464
2.01,-0.429452,-0.914261
2.02,-0.438595,-0.909966
2.03,-0.447695,-0.90558
2.04,-0.45675,-0.901103
2.05,-0.465761,-0.896536
2.06,-0.474727,-0.891878
2.07,-0.483646,-0.887131
2.08,-0.492517,-0.882295
2.09,-0.50134,-0.877369
2.1,-0.510114,-0.872356
2.11,-0.518837,-0.867255
2.12,-0.52751,-0.862067
2.13,-0.53613,-0.856791
2.14,-0.544698,-0.85143
2.15,-0.553213,-0.845983
2.16,-0.561672,-0.840451
2.17,-0.570077,-0.834834
2.18,-0.578425,-0.829134
2.19,-0.586717,-0.823349
2.2,-0.59495,-0.817482
2.21,-0.603125,-0.811533
2.22,-0.61124,-0.805501
2.23,-0.619295,-0.799389
2.24,-0.627289,-0.793196
2.25,-0.635221,-0.786923
2.26,-0.64309,-0.780571
2.27,-0.650896,-0.77414
2.28,-0.658637,-0.767631
2.29,-0.666314,-0.761045
2.3,-0.673924,-0.754382
2.31,-0.681468,-0.747642
2.32,-0.688944,-0.740828
2.33,-0.696353,-0.733938
2.34,-0.703692,-0.726975
2.35,-0.710962,-0.719938
2.36,-0.718161,-0.712828
2.37,-0.72529,-0.705647
2.38,-0.732346,-0.698394
2.39,-0.73933,-0.69107
2.4,-0.746241,-0.683677
2.41,-0.753077,-0.676214
2.42,-0.75984,-0.668684
2.43,-0.766526,-0.661085
2.44,-0.773137,-0.65342
2.45,-0.779671,-0.645689
2.46,-0.786128,-0.637892
2.47,-0.792507,-0.630031
2.48,-0.798808,-0.622106
2.49,-0.805029,-0.614117
2.5,-0.81117,-0.606067
2.51,-0.81723,-0.597956
2.52,-0.82321,-0.589783
2.53,-0.829108,-0.581551
2.54,-0.834923,-0.57326
2.55,-0.840656,-0.564911
2.56,-0.846305,-0.556504
2.57,-0.85187,-0.548041
2.58,-0.85735,-0.539522
2.59,-0.862746,-0.530949
2.6,-0.868055,-0.522322
2.61,-0.873278,-0.513641
2.62,-0.878415,-0.504908
2.63,-0.883464,-0.496124
2.64,-0.888425,-0.487289
2.65,-0.893298,-0.478405
2.66,-0.898082,-0.469472
2.67,-0.902777,-0.460491
2.68,-0.907382,-0.451464
2.69,-0.911896,-0.44239
2.7,-0.91632,-0.433271
2.71,-0.920653,-0.424108
2.72,-0.924894,-0.414901
2.73,-0.929043,-0.405652
2.74,-0.9331,-0.396362
2.75,-0.937063,-0.387031
2.76,-0.940934,-0.37766
2.77,-0.94471,-0.368251
2.78,-0.948393,-0.358804
2.79,-0.951981,-0.34932
2.8,-0.955474,-0.3398
2.81,-0.958872,-0.330245
2.82,-0.962174,-0.320656
2.83,-0.965381,-0.311035
2.84,-0.968491,-0.301381
2.85,-0.971505,-0.291696
2.86,-0.974422,-0.281981
2.87,-0.977242,-0.272237
2.88,-0.979964,-0.262464
2.89,-0.982589,-0.252665
2.9,-0.985115,-0.242839
2.91,-0.987544,-0.232988
2.92,-0.989874,-0.223112
2.93,-0.992105,-0.213213
2.94,-0.994237,-0.203292
2.95,-0.99627,-0.19335
2.96,-0.998203,-0.183387
2.97,-1.00004,-0.173405
2.98,-1.00177,-0.163405
2.99,-1.00341,-0.153387
3,-1.00494,-0.143353
3.01,-1.00637,-0.133304
3.02,-1.00771,-0.12324
3.03,-1.00894,-0.113163
3.04,-1.01007,-0.103074
3.05,-1.0111,-0.0929729
3.06,-1.01203,-0.0828619
3.07,-1.01286,-0.0727416
3.08,-1.01359,-0.062613
3.09,-1.01421,-0.0524771
3.1,-1.01474,-0.042335
3.11,-1.01516,-0.0321876
3.12,-1.01548,-0.022036
3.13,-1.0157,-0.0118812
3.14,-1.01582,-0.00172417
3.15,-1.01584,0.00843405
3.16,-1.01575,0.0185924
3.17,-1.01557,0.02875
3.18,-1.01528,0.0389057
3.19,-1.01489,0.0490585
3.2,-1.0144,0.0592074
3.21,-1.01381,0.0693514
3.22,-1.01312,0.0794895
3.23,-1.01232,0.0896207
3.24,-1.01142,0.0997439
3.25,-1.01043,0.109858
3.26,-1.00933,0.119962
3.27,-1.00813,0.130056
3.28,-1.00683,0.140137
3.29,-1.00543,0.150205
3.3,-1.00393,0.16026
3.31,-1.00232,0.170299
3.32,-1.00062,0.180322
3.33,-0.998816,0.190328
3.34,-0.996913,0.200316
3.35,-0.99491,0.210286
3.36,-0.992807,0.220235
3.37,-0.990605,0.230163
3.38,-0.988303,0.240069
3.39,-0.985902,0.249952
3.4,-0.983403,0.259811
3.41,-0.980805,0.269645
3.42,-0.978108,0.279453
3.43,-0.975314,0.289234
3.44,-0.972421,0.298987
3.45,-0.969432,0.308711
3.46,-0.966344,0.318406
